time, protocol, source_port, destination_port, fin_flag, syn_flag, push_flag, ack_flag, urgent_flag, target
2020-02-26 15:50:00.828493,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.829507,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.830531,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.830555,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.831646,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.832602,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.832620,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.833587,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.834568,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.834586,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.835870,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.836845,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.836868,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.837833,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.839544,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.839563,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.840507,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.841880,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.841904,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.842775,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.843789,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.843812,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.844952,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.845887,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.845907,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.847095,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.847871,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.847893,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.849115,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.850353,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.850375,6,41014,443,0,0,0,1,0,normal
